name seqs bp population year
ATL_1988 4586376 692542776 ATL 2018
ATL_2001 3675982 555073282 ATL 2018
ATL_2002 4193156 633166556 ATL 2018
ATL_2003 3182852 480610652 ATL 2018
ATL_2004 19931040 3009587040 ATL 2018
ATL_2017 3281042 495437342 ATL 2017
ATL_2126 11355890 1714739390 ATL 2018
ATL_2127 2406846 363433746 ATL 2018
ATL_2128 40537132 6121106932 ATL 2018
ATL_2129 8463072 1277923872 ATL 2018
ATL_2131 19039336 2874939736 ATL 2018
ATL_2132 32088180 4845315180 ATL 2018
ATL_2136 10134132 1530253932 ATL 2018
ATL_2137 7076780 1068593780 ATL 2018
ATL_2138 2359378 356266078 ATL 2018
ATL_2141 4563062 689022362 ATL 2018
ATL_2142 4476072 675886872 ATL 2018
ATL_2143 2585896 390470296 ATL 2018
ATL_2144 5612732 847522532 ATL 2018
ATL_2145 3183076 480644476 ATL 2018
ATL_2146 8789432 1327204232 ATL 2018
ATL_2147 2673912 403760712 ATL 2018
ATL_2149 16392442 2475258742 ATL 2018
ATL_2151 14808774 2236124874 ATL 2018
ATL_2152 5867080 885929080 ATL 2018
ATL_2153 15967018 2411019718 ATL 2018
ATL_2154 13137408 1983748608 ATL 2018
ATL_2155 10689518 1614117218 ATL 2018
ATL_2156 4103120 619571120 ATL 2018
ATL_2157 3976378 600433078 ATL 2018
ATL_2158 6434032 971538832 ATL 2018
ATL_2159 9331772 1409097572 ATL 2018
ATL_2160 8723390 1317231890 ATL 2018
ATL_2162 3916944 591458544 ATL 2018
ATL_2163 14099016 2128951416 ATL 2018
ATL_2361 3506020 529409020 ATL 2019
ATL_2362 5817454 878435554 ATL 2019
ATL_2363 6050004 913550604 ATL 2019
ATL_2364 2326174 351252274 ATL 2019
ATL_2365 1531510 231258010 ATL 2019
ATL_2366 3310420 499873420 ATL 2019
ATL_2367 823042 124279342 ATL 2019
ATL_2371 7615782 1149983082 ATL 2019
ATL_2373 4472078 675283778 ATL 2019
ATL_2375 6088096 919302496 ATL 2019
ATL_2380 9953586 1502991486 ATL 2019
ATL_2384 14805578 2235642278 ATL 2019
ATL_2385 4573084 690535684 ATL 2019
ATL_2386 5325384 804132984 ATL 2019
ATL_2388 2066692 312070492 ATL 2019
ATL_2389 2720056 410728456 ATL 2019
ATL_2390 3724524 562403124 ATL 2019
ATL_2392 1469686 221922586 ATL 2019
ATL_2394 1548236 233783636 ATL 2019
ATL_2396 15015782 2267383082 ATL 2019
ATL_2397 3088676 466390076 ATL 2019
ATL_2399 5557100 839122100 ATL 2019
ATL_2402 13303068 2008763268 ATL 2019
ATL_2403 4697228 709281428 ATL 2019
ATL_2404 5236866 790766766 ATL 2019
ATL_2405 3100150 468122650 ATL 2019
ATL_2406 10249722 1547708022 ATL 2019
ATL_2407 6609478 998031178 ATL 2019
ATL_2408 22315982 3369713282 ATL 2019
ATL_2409 5698144 860419744 ATL 2019
ATL_2410 19446906 2936482806 ATL 2019
ATL_2411 4637682 700289982 ATL 2019
ATL_2413 11530692 1741134492 ATL 2019
ATL_2414 7451440 1125167440 ATL 2019
ATL_2417 8430318 1272978018 ATL 2019
ATL_2418 12086440 1825052440 ATL 2019
ATL_2419 11142900 1682577900 ATL 2019
ATL_2420 3854954 582098054 ATL 2019
ATL_2421 4758992 718607792 ATL 2019
ATL_2422 40072718 6050980418 ATL 2019
ATL_2423 29135352 4399438152 ATL 2019
ATL_2424 48022454 7251390554 ATL 2019
ATL_2425 28770780 4344387780 ATL 2019
ATL_2426 36795034 5556050134 ATL 2019
ATL_2427 18596808 2808118008 ATL 2019
ATL_2428 37730922 5697369222 ATL 2019
ATL_2429 4738316 715485716 ATL 2019
ATL_2430 14453450 2182470950 ATL 2019
ATL_2431 14966406 2259927306 ATL 2019
ATL_2432 10007730 1511167230 ATL 2019
ATL_2433 30976480 4677448480 ATL 2019
ATL_2434 9983296 1507477696 ATL 2019
ATL_2435 37286740 5630297740 ATL 2019
ATL_2436 38742690 5850146190 ATL 2019
ATL_2439 21687410 3274798910 ATL 2019
ATL_2440 27123414 4095635514 ATL 2019
ATL_2441 4518272 682259072 ATL 2019
ATL_2442 20142994 3041592094 ATL 2019
ATL_2443 23691568 3577426768 ATL 2019
ATL_2444 8321298 1256515998 ATL 2019
ATL_2445 7196334 1086646434 ATL 2019
ATL_2446 30696994 4635246094 ATL 2019
ATL_2448 32206030 4863110530 ATL 2019
ATL_2449 11631188 1756309388 ATL 2019
ATL_2450 32908328 4969157528 ATL 2019
ATL_2454 15579186 2352457086 ATL 2019
ATL_2455 15843502 2392368802 ATL 2019
ATL_2456 19023644 2872570244 ATL 2019
ATL_2457 2023404 305534004 ATL 2019
ATL_2458 20991246 3169678146 ATL 2019
ATL_2459 12770594 1928359694 ATL 2019
ATL_2460 25725814 3884597914 ATL 2019
ATL_2460 25725814 3884597914 ATL 2019
ATL_2461 3678622 555471922 ATL 2019
ATL_2462 23932888 3613866088 ATL 2019
ATL_2466 21333984 3221431584 ATL 2019
ATL_2468 5601556 845834956 ATL 2019
ATL_2469 20902338 3156253038 ATL 2019
ATL_2473 8803518 1329331218 ATL 2019
ATL_2475 11658408 1760419608 ATL 2019
GOM_2010 3134174 473260274 GOM 2017
GOM_2015 6055424 914369024 GOM 2017
GOM_2016 2061308 311257508 GOM 2017
GOM_2021 3293514 497320614 GOM 2017
GOM_2022 4943344 746444944 GOM 2017
GOM_2024 1648998 248998698 GOM 2017
GOM_2025 9411452 1421129252 GOM 2017
GOM_2027 2187170 330262670 GOM 2017
