TRIP_NUMBER,HAUL_NUMBER,ALPHA_SPECIES_CODE,LENGTH_MEASUREMENT_ONE,LENGTH_MEASUREMENT_TWO,LENGTH_TYPE_ONE,LENGTH_TYPE_TWO,LENGTH_MEASUREMENT_TAKEN_CODE,SEX,COMMENTS,Non-Confidential Area,Non-Confidential Date Range
M08023,2,YFT,150,,UPPER JAW FORK OF TAIL,,1,2,YFTFC61,GOM,Jun/ Jul-19
M08023,3,YFT,147,,UPPER JAW FORK OF TAIL,,1,1,YFTFC62,GOM,Jun/ Jul-19
M08023,3,YFT,145,,UPPER JAW FORK OF TAIL,,1,2,YFTFC63,GOM,Jun/ Jul-19
M08023,3,YFT,153,,UPPER JAW FORK OF TAIL,,1,2,YFTFC64,GOM,Jun/ Jul-19
M08023,4,YFT,142,,UPPER JAW FORK OF TAIL,,1,0,YFTFC65,GOM,Jun/ Jul-19
M08023,4,YFT,147,,UPPER JAW FORK OF TAIL,,1,2,YFTFC66,GOM,Jun/ Jul-19
M08023,9,YFT,132,,UPPER JAW FORK OF TAIL,,1,2,YFTFC67,GOM,Jun/ Jul-19
M08023,10,YFT,155,,UPPER JAW FORK OF TAIL,,1,1,YFTFC68,GOM,Jun/ Jul-19
M08023,10,YFT,155,,UPPER JAW FORK OF TAIL,,1,1,YFTFC69,GOM,Jun/ Jul-19
M08023,10,YFT,153,,UPPER JAW FORK OF TAIL,,1,1,YFTFC70,GOM,Jun/ Jul-19
E05062,1,YFT,135,,UPPER JAW FORK OF TAIL,,1,2,YFTFC4,GOM,Jun/ Jul-19
E05062,1,YFT,134,,UPPER JAW FORK OF TAIL,,1,2,YFTFC5,GOM,Jun/ Jul-19
E05062,1,YFT,139,,UPPER JAW FORK OF TAIL,,1,2,YFTFC6,GOM,Jun/ Jul-19
E05062,1,YFT,130,,UPPER JAW FORK OF TAIL,,1,1,YFTFC7,GOM,Jun/ Jul-19
E05062,1,YFT,143,,UPPER JAW FORK OF TAIL,,1,1,YFTFC8,GOM,Jun/ Jul-19
E05062,2,YFT,124,,UPPER JAW FORK OF TAIL,,1,2,YFTFC10,GOM,Jun/ Jul-19
E05062,2,YFT,140,,UPPER JAW FORK OF TAIL,,1,1,YFTFC11,GOM,Jun/ Jul-19
E05062,2,YFT,164,,UPPER JAW FORK OF TAIL,,1,1,"YFTFC12, 2 PHOTOS",GOM,Jun/ Jul-19
E05062,2,YFT,122,,UPPER JAW FORK OF TAIL,,1,2,YFTFC13,GOM,Jun/ Jul-19
E05062,2,YFT,132,,UPPER JAW FORK OF TAIL,,1,2,YFTFC14,GOM,Jun/ Jul-19
E05062,2,YFT,139,,UPPER JAW FORK OF TAIL,,1,1,YFTFC9,GOM,Jun/ Jul-19
E05062,3,YFT,133,,UPPER JAW FORK OF TAIL,,1,2,YFTFC15,GOM,Jun/ Jul-19
E05062,4,YFT,140,,UPPER JAW FORK OF TAIL,,1,1,YFTFC16,GOM,Jun/ Jul-19
E05062,4,YFT,136,,UPPER JAW FORK OF TAIL,,1,1,YFTFC17,GOM,Jun/ Jul-19
E05062,4,YFT,141,,UPPER JAW FORK OF TAIL,,1,1,YFTFC18,GOM,Jun/ Jul-19
E05062,4,YFT,141,,UPPER JAW FORK OF TAIL,,1,1,YFTFC19,GOM,Jun/ Jul-19
E05062,5,YFT,155,,UPPER JAW FORK OF TAIL,,1,1,YFTFC20,GOM,Jun/ Jul-19
E05062,5,YFT,137,,UPPER JAW FORK OF TAIL,,1,1,YFTFC21,GOM,Jun/ Jul-19
E05062,5,YFT,129,,UPPER JAW FORK OF TAIL,,1,1,YFTFC22,GOM,Jun/ Jul-19
E05062,5,YFT,146,,UPPER JAW FORK OF TAIL,,1,1,YFTFC23,GOM,Jun/ Jul-19
E05062,5,YFT,142,,UPPER JAW FORK OF TAIL,,1,1,YFTFC24,GOM,Jun/ Jul-19
E05062,5,YFT,144,,UPPER JAW FORK OF TAIL,,1,1,YFTFC25,GOM,Jun/ Jul-19
E05062,5,YFT,124,,UPPER JAW FORK OF TAIL,,1,2,YFTFC26,GOM,Jun/ Jul-19
E05062,5,YFT,138,,UPPER JAW FORK OF TAIL,,1,1,YFTFC27,GOM,Jun/ Jul-19
E05062,7,YFT,134,,UPPER JAW FORK OF TAIL,,1,2,YFTFC28,GOM,Jun/ Jul-19
E05062,8,YFT,146,,UPPER JAW FORK OF TAIL,,1,2,YFTFC29,GOM,Jun/ Jul-19
E05062,8,YFT,136,,UPPER JAW FORK OF TAIL,,1,1,YFTFC30,GOM,Jun/ Jul-19
E05062,9,YFT,131,,UPPER JAW FORK OF TAIL,,1,1,YFTFC31,GOM,Jun/ Jul-19
E05062,9,YFT,134,,UPPER JAW FORK OF TAIL,,1,2,YFTFC32,GOM,Jun/ Jul-19
E05062,9,YFT,127,,UPPER JAW FORK OF TAIL,,1,2,YFTFC33,GOM,Jun/ Jul-19
R07057,2,YFT,121,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1001,GOM,Oct/ Nov-19
R07057,2,YFT,121,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1002,GOM,Oct/ Nov-19
R07057,3,YFT,145,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1003,GOM,Oct/ Nov-19
R07057,4,YFT,146,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1004,GOM,Oct/ Nov-19
R07057,4,YFT,157,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1005,GOM,Oct/ Nov-19
R07057,5,YFT,143,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1006,GOM,Oct/ Nov-19
R07057,5,YFT,144,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1007,GOM,Oct/ Nov-19
R07057,5,YFT,150,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1008,GOM,Oct/ Nov-19
R07057,5,YFT,140,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1009,GOM,Oct/ Nov-19
R07057,6,YFT,121,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1010,GOM,Oct/ Nov-19
