sample	population	predicted	correct
ATL_1988	ATL	GOM	FALSE
ATL_2002	ATL	GOM	FALSE
ATL_2004	ATL	GOM	FALSE
ATL_2126	ATL	GOM	FALSE
ATL_2128	ATL	IVC	FALSE
ATL_2131	ATL	IVC	FALSE
ATL_2132	ATL	VZ	FALSE
ATL_2137	ATL	GOM	FALSE
ATL_2141	ATL	GOM	FALSE
ATL_2142	ATL	GOM	FALSE
ATL_2143	ATL	GOM	FALSE
ATL_2144	ATL	GOM	FALSE
ATL_2149	ATL	GOM	FALSE
ATL_2151	ATL	ATL	TRUE
ATL_2152	ATL	GOM	FALSE
ATL_2153	ATL	ATL	TRUE
ATL_2154	ATL	VZ	FALSE
ATL_2155	ATL	VZ	FALSE
ATL_2362	ATL	GOM	FALSE
ATL_2364	ATL	GOM	FALSE
ATL_2375	ATL	GOM	FALSE
ATL_2380	ATL	GOM	FALSE
ATL_2384	ATL	IVC	FALSE
ATL_2385	ATL	GOM	FALSE
ATL_2386	ATL	GOM	FALSE
ATL_2390	ATL	GOM	FALSE
ATL_2396	ATL	GOM	FALSE
ATL_2399	ATL	IVC	FALSE
ATL_2402	ATL	IVC	FALSE
ATL_2403	ATL	GOM	FALSE
ATL_2404	ATL	GOM	FALSE
ATL_2406	ATL	ATL	TRUE
ATL_2408	ATL	ATL	TRUE
ATL_2409	ATL	GOM	FALSE
ATL_2410	ATL	ATL	TRUE
ATL_2411	ATL	GOM	FALSE
ATL_2413	ATL	VZ	FALSE
ATL_2414	ATL	ATL	TRUE
ATL_2417	ATL	ATL	TRUE
ATL_2418	ATL	VZ	FALSE
ATL_2419	ATL	ATL	TRUE
ATL_2422	ATL	VZ	FALSE
ATL_2423	ATL	GOM	FALSE
ATL_2424	ATL	GOM	FALSE
ATL_2425	ATL	GOM	FALSE
ATL_2426	ATL	VZ	FALSE
ATL_2427	ATL	GOM	FALSE
ATL_2428	ATL	VZ	FALSE
ATL_2429	ATL	GOM	FALSE
ATL_2430	ATL	GOM	FALSE
ATL_2433	ATL	VZ	FALSE
ATL_2434	ATL	GOM	FALSE
ATL_2435	ATL	GOM	FALSE
