"name" "population" "year"
"1" "ATL_1988" "ATL" 2018
"2" "ATL_2002" "ATL" 2018
"3" "ATL_2004" "ATL" 2018
"4" "ATL_2126" "ATL" 2018
"5" "ATL_2128" "ATL" 2018
"6" "ATL_2131" "ATL" 2018
"7" "ATL_2132" "ATL" 2018
"8" "ATL_2137" "ATL" 2018
"9" "ATL_2141" "ATL" 2018
"10" "ATL_2142" "ATL" 2018
"11" "ATL_2143" "ATL" 2018
"12" "ATL_2144" "ATL" 2018
"13" "ATL_2149" "ATL" 2018
"14" "ATL_2151" "ATL" 2018
"15" "ATL_2152" "ATL" 2018
"16" "ATL_2153" "ATL" 2018
"17" "ATL_2154" "ATL" 2018
"18" "ATL_2155" "ATL" 2018
"19" "ATL_2362" "ATL" 2019
"20" "ATL_2364" "ATL" 2019
"21" "ATL_2375" "ATL" 2019
"22" "ATL_2380" "ATL" 2019
"23" "ATL_2384" "ATL" 2019
"24" "ATL_2385" "ATL" 2019
"25" "ATL_2386" "ATL" 2019
"26" "ATL_2390" "ATL" 2019
"27" "ATL_2396" "ATL" 2019
"28" "ATL_2399" "ATL" 2019
"29" "ATL_2402" "ATL" 2019
"30" "ATL_2403" "ATL" 2019
"31" "ATL_2404" "ATL" 2019
"32" "ATL_2406" "ATL" 2019
"33" "ATL_2408" "ATL" 2019
"34" "ATL_2409" "ATL" 2019
"35" "ATL_2410" "ATL" 2019
"36" "ATL_2411" "ATL" 2019
"37" "ATL_2413" "ATL" 2019
"38" "ATL_2414" "ATL" 2019
"39" "ATL_2417" "ATL" 2019
"40" "ATL_2418" "ATL" 2019
"41" "ATL_2419" "ATL" 2019
"42" "ATL_2422" "ATL" 2019
"43" "ATL_2423" "ATL" 2019
"44" "ATL_2424" "ATL" 2019
"45" "ATL_2425" "ATL" 2019
"46" "ATL_2426" "ATL" 2019
"47" "ATL_2427" "ATL" 2019
"48" "ATL_2428" "ATL" 2019
"49" "ATL_2429" "ATL" 2019
"50" "ATL_2430" "ATL" 2019
"51" "ATL_2433" "ATL" 2019
"52" "ATL_2434" "ATL" 2019
"53" "ATL_2435" "ATL" 2019
"54" "ATL_2436" "ATL" 2019
"55" "ATL_2439" "ATL" 2019
"56" "ATL_2440" "ATL" 2019
"57" "ATL_2441" "ATL" 2019
"58" "ATL_2442" "ATL" 2019
"59" "ATL_2443" "ATL" 2019
"60" "ATL_2444" "ATL" 2019
"61" "ATL_2445" "ATL" 2019
"62" "ATL_2446" "ATL" 2019
"63" "ATL_2448" "ATL" 2019
"64" "ATL_2449" "ATL" 2019
"65" "ATL_2450" "ATL" 2019
"66" "ATL_2454" "ATL" 2019
"67" "ATL_2455" "ATL" 2019
"68" "ATL_2456" "ATL" 2019
"69" "ATL_2458" "ATL" 2019
"70" "ATL_2459" "ATL" 2019
"71" "ATL_2460" "ATL" 2019
"72" "ATL_2461" "ATL" 2019
"73" "ATL_2462" "ATL" 2019
"74" "ATL_2466" "ATL" 2019
"75" "ATL_2468" "ATL" 2019
"76" "ATL_2473" "ATL" 2019
